id,state
04LS_nagoya,bot
0gn,bot
0k__2,bot
0ts__,bot
100rahal100,bot
10baigaeshida,bot
112Twente,bot
121Training,bot
12News,bot
140journos,bot
14Mundial,bot
164203,bot
1DAllUpdateess,bot
1DBR,bot
1Me100,bot
1TVNewsAF,bot
2014Abdallh,bot
24HorasTV,bot
24sata_HR,bot
263Chat,bot
2NE1tv,bot
2ch_c,bot
2kidsandacoupon,bot
2themillbeats,bot
360Connect,bot
3AW693,bot
3jsb_unofficial,bot
m9b9k,bot
46nekopj,bot
47newsflash,bot
4VisionPR,bot
55smiling,bot
5SOSPHOfficial,bot
5hNewsBrasil,bot
5llw05,bot
6_ski,bot
7iiix,bot
7ussain51,bot
800Nalgas,bot
82lid,bot
8l5ii,bot
8o0otshy,bot
9090_q8,bot
9NewsBrisbane,bot
AAdd0,bot
ABC7News,bot
ABCCardinal,bot
ACritica,bot
ADELLEO,bot
AIiandoKEPO,bot
ALAHLI_SC,bot
APOLONIAPORN,bot
AP_Noticias,bot
AP_Sports,bot
iloveyousmileme,bot
AlahmadiAAFS,bot
About_Di,bot
goodnewsace,bot
Adv_777,bot
AesopRockWins,bot
AidilAKBAR,bot
Ak_Hareket,bot
Akamai,bot
AlBawabaNews,bot
Al_ahlinews,bot
Alastairkretser,bot
AleEnForma,bot
AllHipHopModels,bot
AmorUnaDecision,bot
Amtrak,bot
Ana_Al_Fahad,bot
AnabellePync,bot
JhosisVlogs,bot
AnimeVoice,bot
Annenishadi,bot
AntenaSanLuis,bot
AntiTalibanISIS,bot
AphorismRU,bot
AppleInsider_ru,bot
AppzThatRock,bot
AraguaTamanaco,bot
ArgaamIM,bot
AriesWeAre,bot
Ars3Follows,bot
AsapTwelvyy,bot
AshiLabouisse,bot
AutoSportsArt,bot
AutopCentral,bot
AwakenToGod,bot
Azooz_1Q,bot
B8B88,bot
BABYFAITHmisato,bot
BBCWales,bot
BBC_HaveYourSay,bot
BDisgusting,bot
BDnews,bot
HLS_backup,bot
BIGBANG5TV,bot
BMVMercados,bot
BTCare,bot
4u_ih,bot
BabbleEditors,bot
BaderDiab,bot
Balonazos,bot
BancoGalicia,bot
BarbaraDuke,bot
BaronessDupont,bot
BenningtonShow,bot
BennyBurrito1,bot
BerengereKrief,bot
BeritaDanKata,bot
BestGamezUp,bot
BetfairExchange,bot
BialCitou,bot
BigBitingPig,bot
BigOShow,bot
BiggaRankin00,bot
BirdBrayn,bot
BlackstoneVG,bot
BlogsofWar,bot
BlueWaterDays,bot
BobBurg,bot
BobMarIeyES,bot
BofA_Help,bot
Boobworld,bot
BosporusCaptan,bot
Boy4ME,bot
BravissimoCity,bot
BrewerVASocial,bot
Britanniacomms,bot
BritneyAyo,bot
BrujaReal,bot
BurroSutil,bot
BurtsBees,bot
BuzzFeedQuiz,bot
CANAL44TV,bot
CANCHAELNORTE,bot
CBCCalgary,bot
CBSDenver,bot
CBSNewYork,bot
CBSPhilly,bot
CBSPittsburgh,bot
CDU,bot
CNNIndonesia,bot
CNNTURKEko,bot
COdomainnames,bot
CTVCalgary,bot
Caixa,bot
Cam4,bot
CanalUGR,bot
CancerBanget,bot
CapsulaCinefila,bot
Captain_Heck,bot
ChaleneJohnson,bot
Channel955,bot
ChelseaRumours,bot
Chev_Chelios7,bot
ChicksDigRap,bot
ChinoTelibleES,bot
ChistesEnFotos,bot
ChistesEnTwits,bot
ChopBoards,bot
Cinemax,bot
CircuitoExitos,bot
